Round,Case,GazeOriginX,GazeOriginY,GazeOriginZ,GazeDirectionX,GazeDirectionY,GazeDirectionZ,HeadMovementDirectionX,HeadMovementDirectionY,HeadMovementDirectionZ,HeadX,HeadY,HeadZ,HeadDrectionX,HeadDrectionY,HeadDrectionZ,LocalTargetX,LocalTargetY,LocalTargetZ
1,1,-0.04767386,1.241411,-0.01404381,-0.04667621,-0.2349472,0.9708868,-0.03796749,0.9992272,-0.009984937,-0.04736765,1.241901,-0.01520872,0.1170826,-0.02373391,-0.01750932,-0.04231825,-0.3411151,0.5992212
1,1,-0.04757681,1.241546,-0.01437569,-0.04799986,-0.2340458,0.97104,-0.03803287,0.9992219,-0.01027385,-0.0471028,1.242017,-0.01556969,0.1166853,-0.02458559,-0.01771442,-0.04231825,-0.3411151,0.5992212
1,1,-0.04750902,1.241613,-0.01454639,-0.04870744,-0.2335818,0.9711164,-0.03805292,0.9992197,-0.0104171,-0.04695331,1.242129,-0.01567078,0.116181,-0.02482953,-0.01790201,-0.04231825,-0.3411151,0.5992212
1,1,-0.04743518,1.241681,-0.01469564,-0.04933896,-0.2330784,0.9712055,-0.03806481,0.9992178,-0.01055797,-0.04682052,1.242252,-0.01575375,0.1156427,-0.02514796,-0.01814129,-0.04231825,-0.3411151,0.5992212
1,1,-0.04726664,1.241836,-0.01497173,-0.05064879,-0.231905,0.971419,-0.0380651,0.9992149,-0.01083088,-0.04660502,1.24238,-0.01595163,0.1149971,-0.02589041,-0.01871133,-0.04231825,-0.3411151,0.5992212
1,1,-0.04708682,1.241975,-0.01523304,-0.05201099,-0.2307069,0.9716322,-0.03803729,0.9992132,-0.01109211,-0.04643205,1.242428,-0.01613426,0.1144861,-0.02663586,-0.01930088,-0.04231825,-0.3411151,0.5992212
1,1,-0.04700221,1.242033,-0.01534939,-0.05269616,-0.2301398,0.9717299,-0.03801486,0.9992127,-0.01121775,-0.04637808,1.242491,-0.01619101,0.1139199,-0.02706519,-0.01970929,-0.04231825,-0.3411151,0.5992212
1,1,-0.04692144,1.242092,-0.01545811,-0.05341349,-0.2294963,0.9718429,-0.037988,0.9992124,-0.01133951,-0.04637466,1.242559,-0.01624823,0.1134356,-0.02757932,-0.02016246,-0.04231825,-0.3411151,0.5992212
1,1,-0.04678276,1.242218,-0.01566315,-0.05505471,-0.2280114,0.9721007,-0.03792518,0.9992123,-0.01157157,-0.04638641,1.242656,-0.01633739,0.1124317,-0.02878457,-0.02035601,-0.04231825,-0.3411151,0.5992212
1,1,-0.04672793,1.242278,-0.01575661,-0.05598055,-0.2271983,0.9722382,-0.03789117,0.9992123,-0.01168178,-0.04643048,1.242683,-0.01639318,0.1122462,-0.02950058,-0.02059443,-0.04231825,-0.3411151,0.5992212
1,1,-0.04666099,1.242381,-0.01593399,-0.05801419,-0.2257633,0.9724532,-0.03782418,0.9992125,-0.01189073,-0.04656298,1.242669,-0.01658916,0.1119762,-0.03091667,-0.0199828,-0.04231825,-0.3411151,0.5992212
1,1,-0.04664725,1.242422,-0.01602602,-0.05911707,-0.2251184,0.9725363,-0.03779335,0.9992125,-0.01199054,-0.04671309,1.242691,-0.01671886,0.1119886,-0.03191668,-0.01957612,-0.04231825,-0.3411151,0.5992212
1,1,-0.0466934,1.242499,-0.01621771,-0.06166915,-0.2240357,0.9726278,-0.03774465,0.999212,-0.01218342,-0.04718573,1.242812,-0.01690674,0.1116025,-0.03448573,-0.01912971,-0.04231825,-0.3411151,0.5992212
1,1,-0.04676272,1.242543,-0.01631451,-0.06323085,-0.2235138,0.9726477,-0.03773066,0.9992114,-0.01227703,-0.04748946,1.242821,-0.01701355,0.1117509,-0.03611031,-0.01873267,-0.04231825,-0.3411151,0.5992212
1,1,-0.0469994,1.242609,-0.0165267,-0.06708412,-0.2228893,0.9725329,-0.03773304,0.9992092,-0.01246135,-0.04813642,1.242566,-0.01747942,0.1134201,-0.03933826,-0.01779488,-0.04231825,-0.3411151,0.5992212
1,1,-0.04715818,1.242603,-0.01665974,-0.06918636,-0.2230144,0.9723569,-0.03775178,0.9992073,-0.01255485,-0.04864662,1.242007,-0.01820421,0.1149745,-0.04106684,-0.01718075,-0.04231825,-0.3411151,0.5992212
1,1,-0.04737817,1.242515,-0.01688814,-0.07159257,-0.2235755,0.9720537,-0.03778656,0.9992048,-0.01265744,-0.0489161,1.241886,-0.01860905,0.1163976,-0.04252015,-0.01677541,-0.04231825,-0.3411151,0.5992212
