Round,Case,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21,X22,Y22,Z22,TargetX,TargetY,TargetZ
2,76,0.05433227,0.854238,0.1326933,0.04705369,0.8987107,0.1541131,0.01553884,0.8872507,0.1407361,-0.005616847,0.906231,0.1592212,-0.01501963,0.9273674,0.1858044,-0.01288365,0.937811,0.2091618,0.02037489,0.9469678,0.1631961,0.00792437,0.978743,0.1831856,-0.0005733073,0.9983286,0.1968422,-0.004334629,1.01836,0.208231,0.03977512,0.9431834,0.1755328,0.0117667,0.9509744,0.2095718,0.003893964,0.9239733,0.2037153,0.01314953,0.9118723,0.1825695,0.0515742,0.9304446,0.1885271,0.02277219,0.9305081,0.2172341,0.01582831,0.9069218,0.204453,0.02803341,0.9005158,0.1830897,0.06032125,0.9132589,0.2006564,0.0345444,0.9151958,0.2195792,0.02720032,0.8984966,0.208817,0.03811147,0.8929075,0.1894779,-0.3807084,0.9051567,0.3072808
2,76,0.05434585,0.8548278,0.1318913,0.0473538,0.8994305,0.1531353,0.01574229,0.88807,0.1399026,-0.005295999,0.9072044,0.1583629,-0.01453358,0.9284703,0.1849003,-0.01217149,0.9389339,0.2082272,0.02094409,0.9478605,0.1620836,0.008677982,0.9797973,0.1819291,0.0003197342,0.9995148,0.1954818,-0.003302932,1.01964,0.2067485,0.04036175,0.9440333,0.1743793,0.0124644,0.9520816,0.2084503,0.004458744,0.9250875,0.2027431,0.01358983,0.9128156,0.1816416,0.05213552,0.9312929,0.1873951,0.02341883,0.9316248,0.2161856,0.01633058,0.9080197,0.2035193,0.02843429,0.9014505,0.182148,0.06083247,0.9141172,0.1995749,0.03512289,0.9162489,0.2185678,0.02767591,0.899551,0.2078743,0.03849529,0.8938372,0.1885204,-0.3807084,0.9051567,0.3072808
2,76,0.05450896,0.8552911,0.1313415,0.04779372,0.8999255,0.1526086,0.01609878,0.8887386,0.1394272,-0.004864935,0.9080322,0.1578064,-0.01403807,0.9293947,0.184289,-0.0116891,0.9398848,0.2076054,0.02166057,0.9484947,0.1616144,0.009470817,0.9804683,0.1814475,0.00116922,1.00022,0.1949854,-0.002394039,1.020365,0.2062345,0.04107848,0.9445598,0.1738758,0.01331561,0.9529248,0.2079797,0.005032804,0.9259722,0.2024765,0.01391576,0.9133875,0.1814532,0.05280587,0.9317528,0.1868677,0.0241743,0.9323808,0.2157383,0.01687126,0.9087853,0.203176,0.02883634,0.9020185,0.1817884,0.06143117,0.9145275,0.1990285,0.03579506,0.9168763,0.2180948,0.02817969,0.900212,0.207468,0.03884355,0.8943286,0.1880784,-0.3807084,0.9051567,0.3072808
2,76,0.05454406,0.8552978,0.1311331,0.04783979,0.8997854,0.1527088,0.01611683,0.8886417,0.1395583,-0.004790302,0.9078074,0.1581349,-0.01388728,0.9290049,0.1847754,-0.01150884,0.9393783,0.2081409,0.02167283,0.948261,0.1621118,0.009487238,0.9800791,0.1821957,0.00120702,0.9997385,0.1958799,-0.002341792,1.019812,0.2072611,0.04113552,0.9442729,0.1742845,0.01343478,0.9523124,0.2085171,0.005196903,0.9253789,0.2028546,0.01403543,0.9129317,0.1817312,0.05292165,0.9313981,0.1871562,0.02436994,0.9317681,0.2161098,0.0170553,0.9082421,0.2034245,0.02893109,0.9015875,0.181952,0.06160876,0.9141062,0.1991773,0.03602634,0.9162831,0.2183361,0.02840217,0.8996787,0.2076221,0.03899312,0.8939204,0.1881552,-0.3807084,0.9051567,0.3072808
2,76,0.05405484,0.8555146,0.1306248,0.04744404,0.899937,0.1523631,0.01565672,0.8888147,0.1393509,-0.005186513,0.9079139,0.1580672,-0.01422669,0.9290455,0.1847792,-0.01177945,0.9393693,0.2081599,0.02130374,0.9483722,0.1620445,0.009216223,0.9801391,0.1822686,0.001050629,0.9998087,0.1960068,-0.002394702,1.019886,0.2074127,0.04083323,0.9443594,0.1741014,0.01325091,0.9521349,0.2084904,0.005051896,0.9252088,0.2027369,0.01381199,0.9128581,0.1815243,0.0526944,0.9314539,0.186873,0.02425292,0.9315921,0.2159371,0.01692285,0.9081071,0.2031851,0.02868396,0.9015263,0.1816268,0.06145425,0.9141322,0.1987982,0.03592828,0.9161354,0.218051,0.02833613,0.8995594,0.2072701,0.0388851,0.8939343,0.1877418,-0.3807084,0.9051567,0.3072808
2,76,0.05387822,0.855553,0.130794,0.04736601,0.9000513,0.1524065,0.01556047,0.8889773,0.1393971,-0.005286079,0.9082031,0.1579795,-0.01438006,0.9294656,0.1845694,-0.01198876,0.9398719,0.2079191,0.02134503,0.948581,0.1619344,0.00931716,0.9804317,0.1820617,0.001181234,1.000152,0.1957445,-0.002230462,1.020266,0.207098,0.0408538,0.9445496,0.1740189,0.0132423,0.9524812,0.2083488,0.004984908,0.9255546,0.2026815,0.0137167,0.9130733,0.1815338,0.05267031,0.9316477,0.1868353,0.02421038,0.931974,0.2158794,0.01682467,0.9084653,0.2032037,0.02856926,0.9017562,0.1816759,0.06137459,0.9143354,0.1988144,0.03585286,0.9164965,0.2180557,0.02820282,0.8999093,0.2073336,0.03871817,0.8941612,0.1878228,-0.3807084,0.9051567,0.3072808
2,76,0.05374222,0.8555831,0.1309223,0.04731277,0.9001396,0.1524394,0.01548936,0.889103,0.139442,-0.00536792,0.9084325,0.1579046,-0.01452302,0.9298059,0.1843843,-0.01218316,0.9402809,0.2077084,0.02138696,0.9487417,0.1618567,0.009411246,0.9806564,0.1819139,0.001298077,1.000412,0.19556,-0.002088442,1.02055,0.2068777,0.04088331,0.944696,0.1739564,0.0132603,0.9527602,0.2082462,0.004953466,0.9258323,0.2026582,0.01365114,0.9132352,0.1815653,0.05266917,0.9317968,0.1868038,0.02420639,0.9322809,0.2158432,0.01677452,0.908752,0.2032323,0.02850023,0.9019402,0.1817265,0.06133416,0.9144921,0.1988225,0.03582796,0.9167904,0.2180686,0.02812045,0.9001942,0.2074018,0.03859354,0.8943385,0.1879001,-0.3807084,0.9051567,0.3072808
2,76,0.05301755,0.8553721,0.1308179,0.04644806,0.8998753,0.1524029,0.01468559,0.8888173,0.1392756,-0.006280113,0.9080775,0.1576872,-0.01558657,0.9293869,0.184166,-0.01343621,0.9398533,0.2075124,0.02041733,0.9484194,0.1618304,0.008167036,0.9801273,0.1820488,-8.554012E-05,0.9997766,0.1957645,-0.003602926,1.019842,0.2071705,0.03987857,0.9443784,0.1739879,0.01202111,0.9520538,0.2081771,0.003908224,0.9251161,0.2023563,0.01280079,0.9127192,0.1812263,0.05164015,0.931471,0.1868491,0.02301737,0.9316568,0.2157345,0.0157247,0.9081603,0.2029824,0.02754065,0.9014438,0.1814961,0.06029034,0.9141549,0.1988621,0.03463481,0.9161729,0.2179403,0.02708492,0.899592,0.2071376,0.03767037,0.8938577,0.1876607,-0.3807084,0.9051567,0.3072808
2,76,0.05122567,0.8553761,0.1315956,0.04421701,0.8998547,0.1530929,0.01264473,0.8886344,0.139648,-0.008614738,0.907772,0.1578498,-0.01824442,0.9289992,0.184279,-0.01627465,0.9394161,0.2076631,0.01785195,0.9482731,0.1622334,0.005190741,0.9798627,0.182384,-0.003318492,0.9994417,0.196043,-0.007071614,1.019469,0.2074409,0.03720835,0.9443334,0.1745901,0.008915938,0.9517474,0.2084785,0.001077805,0.9247632,0.2024984,0.01032124,0.9125111,0.1814346,0.0489023,0.9314895,0.1875758,0.0199444,0.9314194,0.216126,0.01295886,0.9078916,0.2032599,0.02506971,0.9012942,0.1819015,0.05751548,0.9142212,0.1996841,0.03161286,0.9160117,0.2184486,0.02431327,0.8993884,0.2075396,0.03516214,0.8937448,0.1881814,-0.3807084,0.9051567,0.3072808
2,76,0.04663239,0.8553901,0.1335783,0.03854739,0.8998076,0.1548228,0.007461868,0.8881888,0.140605,-0.01450984,0.9070233,0.1582689,-0.02489337,0.9280354,0.1845841,-0.02329893,0.9383005,0.2080641,0.01137746,0.9479145,0.1632209,-0.002270985,0.9792278,0.183157,-0.01140169,0.9986398,0.1966524,-0.01572865,1.018575,0.2080073,0.03046238,0.944225,0.1760674,0.001135904,0.9510497,0.2091918,-0.006034862,0.9239596,0.2028637,0.004051145,0.9120444,0.181994,0.04197952,0.93154,0.189364,0.01222448,0.9308667,0.2170739,0.005995717,0.907265,0.2039571,0.01882074,0.9009516,0.1829319,0.05049266,0.9143925,0.2017121,0.02401116,0.9156464,0.2196956,0.01732425,0.8989216,0.2085519,0.02881275,0.8934951,0.1895032,-0.3807084,0.9051567,0.3072808
2,76,0.03929764,0.8557274,0.1337147,0.03052622,0.9000075,0.1549737,-0.0003195964,0.8880298,0.1405334,-0.02263151,0.9066001,0.1580501,-0.03331527,0.9274266,0.1843925,-0.03176949,0.9375769,0.2079253,0.002710667,0.9477625,0.1632667,-0.01152607,0.9787163,0.183352,-0.02102515,0.9978898,0.1969337,-0.02571578,1.017674,0.2084079,0.0217548,0.9442876,0.1762328,-0.00792427,0.9504755,0.2091675,-0.01462287,0.923317,0.2026186,-0.004180454,0.9117062,0.1817527,0.03333983,0.931724,0.1895852,0.003373466,0.9304624,0.2170458,-0.002443362,0.9068266,0.2038021,0.01059791,0.90074,0.1828432,0.0419824,0.9146627,0.2019629,0.01531328,0.915386,0.219697,0.008977402,0.898606,0.2084312,0.02067046,0.8933923,0.1894479,-0.3807084,0.9051567,0.3072808
