Round,Case,LocalTargetX,LocalTargetY,LocalTargetZ,HeadX,HeadY,HeadZ,TargetX,TargetY,TargetZ
1,1,0.4968115,0.8376964,0.2111372,0.122018,1.15384,-0.03112656,0.4968115,0.8376964,0.2111372
1,2,-0.1732902,1.376069,0.3477378,-0.03291567,1.217579,-0.1226813,-0.1732902,1.376069,0.3477378
1,3,-0.4652089,0.8289852,0.2370937,-0.1427172,1.114188,-0.1335136,-0.4652089,0.8289852,0.2370937
1,4,0.2709931,1.571793,0.3492494,0.02476301,1.224636,-0.1557965,0.2709931,1.571793,0.3492494
1,5,-0.1033505,1.502009,0.339848,-0.04599676,1.208006,-0.1633391,-0.1033505,1.502009,0.339848
1,6,-0.3729846,1.296593,0.270927,-0.08011112,1.187287,-0.1436076,-0.3729846,1.296593,0.270927
1,7,-0.2868304,1.427912,0.2303764,-0.06719491,1.205476,-0.1718266,-0.2868304,1.427912,0.2303764
1,8,-0.3188645,1.188923,0.4766802,-0.06654308,1.186427,-0.1014728,-0.3188645,1.188923,0.4766802
1,9,-0.09427613,0.9050631,0.1150704,-0.03811041,1.133035,-0.08914401,-0.09427613,0.9050631,0.1150704
1,10,-0.3653582,1.069324,0.4727537,-0.0722112,1.172701,-0.07988874,-0.3653582,1.069324,0.4727537
1,11,0.08574975,1.165926,0.3584031,0.01092172,1.18296,-0.09141038,0.08574975,1.165926,0.3584031
1,12,0.3514903,1.288375,0.5456892,0.07587899,1.207321,-0.06418304,0.3514903,1.288375,0.5456892
1,13,-0.03237176,1.330809,0.4560023,-0.02217637,1.199766,-0.08742121,-0.03237176,1.330809,0.4560023
1,14,-0.07028365,1.157815,0.6641212,-0.0543673,1.183558,-0.02272747,-0.07028365,1.157815,0.6641212
1,15,0.02027893,0.9842942,0.4680746,-0.01844027,1.172004,-0.0299007,0.02027893,0.9842942,0.4680746
1,16,0.11077,0.8422215,0.3938687,0.01661168,1.147444,-0.0454945,0.11077,0.8422215,0.3938687
1,17,0.251431,0.8558462,0.3318719,0.04455642,1.145977,-0.04929946,0.251431,0.8558462,0.3318719
1,18,0.1909417,1.012787,0.4623672,0.03743814,1.162209,-0.0576743,0.1909417,1.012787,0.4623672
1,19,0.1319873,0.7832762,0.2638362,0.0347822,1.134084,-0.04995443,0.1319873,0.7832762,0.2638362
1,20,-0.1266401,1.567428,0.132407,-0.00529499,1.231722,-0.1979314,-0.1266401,1.567428,0.132407
1,21,0.1378452,0.562503,0.1228105,0.0841948,1.085849,-0.01685066,0.1378452,0.562503,0.1228105
1,22,-0.09208685,1.369269,0.2976546,0.001997635,1.194973,-0.1319093,-0.09208685,1.369269,0.2976546
1,23,-0.2455177,1.23789,0.1488922,-0.03718182,1.183195,-0.1408486,-0.2455177,1.23789,0.1488922
1,24,-0.246734,0.7303256,0.1124591,-0.06991768,1.105687,-0.1047459,-0.246734,0.7303256,0.1124591
1,25,0.1119767,0.9381385,0.3216539,0.03221349,1.144964,-0.08773331,0.1119767,0.9381385,0.3216539
