Round,Case,GazeOriginX,GazeOriginY,GazeOriginZ,GazeDirectionX,GazeDirectionY,GazeDirectionZ,HeadMovementDirectionX,HeadMovementDirectionY,HeadMovementDirectionZ,HeadX,HeadY,HeadZ,HeadDrectionX,HeadDrectionY,HeadDrectionZ,LocalTargetX,LocalTargetY,LocalTargetZ
1,1,-0.02205419,1.148863,-0.08410501,0.05902474,-0.1687324,0.983893,-0.01782934,0.9974457,-0.06916334,-0.02226814,1.148693,-0.08562088,0.08444243,0.02834462,0.02714669,0.1745759,0.9770665,0.4144473
1,1,-0.02210755,1.14882,-0.08448315,0.05952433,-0.1682037,0.9839535,-0.01796524,0.9974134,-0.06957975,-0.02240528,1.148539,-0.08610725,0.08510402,0.02852903,0.02731765,0.1745759,0.9770665,0.4144473
1,1,-0.02226621,1.14871,-0.08521223,0.06039023,-0.1682159,0.9838985,-0.01821712,0.9973509,-0.07038608,-0.02261762,1.148594,-0.08688688,0.08496126,0.02876691,0.02690406,0.1745759,0.9770665,0.4144473
1,1,-0.02234662,1.148684,-0.08559561,0.06072487,-0.1680814,0.983901,-0.01833508,0.9973205,-0.0707771,-0.02245508,1.148561,-0.0867815,0.08465622,0.02849647,0.02689566,0.1745759,0.9770665,0.4144473
1,1,-0.02237056,1.148657,-0.08585739,0.0608514,-0.1678519,0.9839323,-0.01844333,0.9972914,-0.07115178,-0.02243011,1.148415,-0.08710098,0.08460671,0.02852573,0.02684288,0.1745759,0.9770665,0.4144473
1,1,-0.02240475,1.148534,-0.08651257,0.06105872,-0.1674954,0.9839803,-0.01863257,0.9972358,-0.07187103,-0.02254925,1.148411,-0.08805418,0.08440009,0.02854845,0.02662697,0.1745759,0.9770665,0.4144473
1,1,-0.02243485,1.148508,-0.08683395,0.06111819,-0.1672981,0.9840101,-0.01871678,0.9972087,-0.07222156,-0.02265887,1.148604,-0.08826065,0.08313246,0.02856343,0.02647946,0.1745759,0.9770665,0.4144473
1,1,-0.02251085,1.148566,-0.0873518,0.06116783,-0.1656416,0.9842873,-0.01887074,0.997157,-0.07288805,-0.02260019,1.148629,-0.08848047,0.08062351,0.02849415,0.02603316,0.1745759,0.9770665,0.4144473
1,1,-0.02252851,1.148579,-0.08757496,0.06112655,-0.1643528,0.9845058,-0.01893904,0.9971328,-0.07320035,-0.02264227,1.14866,-0.0886054,0.08069687,0.02787367,0.02606178,0.1745759,0.9770665,0.4144473
1,1,-0.02255097,1.148595,-0.08777857,0.06085111,-0.1633547,0.9846889,-0.01900241,0.9971097,-0.07349889,-0.02271383,1.14851,-0.08881092,0.08147909,0.02779038,0.02633257,0.1745759,0.9770665,0.4144473
1,1,-0.02261947,1.148521,-0.08819246,0.06043578,-0.1627646,0.9848123,-0.01911929,0.9970659,-0.07406149,-0.02276368,1.148131,-0.08925152,0.082304,0.02771348,0.0262954,0.1745759,0.9770665,0.4144473
1,1,-0.02264722,1.148446,-0.08839607,0.06026084,-0.1627082,0.9848323,-0.01917315,0.9970451,-0.07432817,-0.02274513,1.148107,-0.08931017,0.08238493,0.02757474,0.02606955,0.1745759,0.9770665,0.4144473
1,1,-0.02268275,1.14834,-0.08870888,0.05977004,-0.162517,0.9848938,-0.01927001,0.9970063,-0.07482579,-0.0228617,1.148203,-0.08931494,0.08127486,0.02705431,0.02629509,0.1745759,0.9770665,0.4144473
1,1,-0.02271564,1.148315,-0.08882046,0.05947502,-0.1621413,0.9849735,-0.01931491,0.9969885,-0.07505352,-0.02295581,1.148232,-0.08931541,0.08085412,0.02698607,0.02686658,0.1745759,0.9770665,0.4144473
1,1,-0.02275857,1.1483,-0.08890915,0.05922944,-0.1616892,0.9850627,-0.01935906,0.9969718,-0.07526623,-0.02303703,1.148201,-0.08936357,0.080786,0.02681413,0.02723259,0.1745759,0.9770665,0.4144473
1,1,-0.02284277,1.148257,-0.08905745,0.05871328,-0.1610655,0.9851958,-0.0194458,0.9969414,-0.07564944,-0.02293496,1.148061,-0.08933353,0.08119605,0.02642903,0.02766696,0.1745759,0.9770665,0.4144473
1,1,-0.02285889,1.148223,-0.08910561,0.05843776,-0.1609272,0.9852347,-0.01948567,0.9969279,-0.07582001,-0.02288475,1.148028,-0.08930969,0.08091501,0.02642843,0.02792332,0.1745759,0.9770665,0.4144473
1,1,-0.02286865,1.148157,-0.08917522,0.05798747,-0.1604438,0.9853402,-0.0195552,0.9969039,-0.07612113,-0.0229037,1.14799,-0.08938551,0.08068537,0.02636523,0.02831846,0.1745759,0.9770665,0.4144473
1,1,-0.02287464,1.148128,-0.08921099,0.05783385,-0.1602364,0.9853829,-0.01958564,0.9968933,-0.07625426,-0.02289102,1.147912,-0.08943892,0.08078629,0.0263515,0.0282099,0.1745759,0.9770665,0.4144473
1,1,-0.02286519,1.14805,-0.0892868,0.05765889,-0.1601075,0.9854141,-0.01963726,0.9968744,-0.07649208,-0.0226991,1.147754,-0.08952045,0.08149207,0.02667719,0.02803316,0.1745759,0.9770665,0.4144473
1,1,-0.02283957,1.148004,-0.08932304,0.05766612,-0.160218,0.9853958,-0.01965665,0.996866,-0.07659861,-0.02262091,1.147765,-0.08956099,0.0813223,0.02734254,0.0279532,0.1745759,0.9770665,0.4144473
1,1,-0.02280677,1.147968,-0.08935881,0.05786747,-0.1602531,0.9853783,-0.01967131,0.9968582,-0.07669784,-0.02260549,1.147858,-0.08964252,0.08054896,0.02786985,0.0282717,0.1745759,0.9770665,0.4144473
1,1,-0.02274796,1.147959,-0.08943844,0.05861532,-0.1596544,0.9854312,-0.01968906,0.9968443,-0.07687771,-0.02243144,1.148197,-0.08965492,0.07868845,0.02934358,0.02883337,0.1745759,0.9770665,0.4144473
1,1,-0.02270613,1.14799,-0.08946705,0.05919407,-0.159048,0.9854947,-0.0196917,0.9968382,-0.07695823,-0.02223568,1.148376,-0.0895977,0.07796211,0.03036127,0.02885054,0.1745759,0.9770665,0.4144473
1,1,-0.02256565,1.148101,-0.0895052,0.0608482,-0.1576261,0.9856224,-0.01967878,0.9968277,-0.07709955,-0.02197736,1.148518,-0.08979321,0.07782298,0.03212055,0.02896803,0.1745759,0.9770665,0.4144473
1,1,-0.02249436,1.148152,-0.08954,0.06177512,-0.1570864,0.9856509,-0.01966378,0.9968232,-0.07716312,-0.02191862,1.148565,-0.08994246,0.07734896,0.03309222,0.02891445,0.1745759,0.9770665,0.4144473
1,1,-0.02235698,1.148261,-0.0896368,0.06394468,-0.1557847,0.9857191,-0.01962047,0.996815,-0.07728296,-0.02169151,1.148921,-0.08990908,0.0753339,0.03518208,0.02953848,0.1745759,0.9770665,0.4144473
1,1,-0.02228104,1.148336,-0.0896678,0.0651543,-0.1548979,0.9857796,-0.01959246,0.9968113,-0.077338,-0.02149652,1.149106,-0.08980131,0.07458195,0.03610504,0.02998545,0.1745759,0.9770665,0.4144473
1,1,-0.02219978,1.148416,-0.08968163,0.06631995,-0.1540211,0.9858394,-0.01956007,0.9968082,-0.07738821,-0.02133333,1.149187,-0.08972216,0.07439098,0.0371558,0.03019491,0.1745759,0.9770665,0.4144473
1,1,-0.02200997,1.148576,-0.08968925,0.06908339,-0.1523812,0.9859044,-0.01948037,0.9968033,-0.07747351,-0.02119162,1.149187,-0.08970451,0.07461482,0.03891287,0.03015405,0.1745759,0.9770665,0.4144473
1,1,-0.02191049,1.148651,-0.08969116,0.07065608,-0.1516418,0.985907,-0.0194337,0.9968014,-0.07750944,-0.0211044,1.149273,-0.08963919,0.07421492,0.03987023,0.03004635,0.1745759,0.9770665,0.4144473
1,1,-0.02168967,1.148816,-0.08966064,0.07418805,-0.1500516,0.9858907,-0.01932652,0.9967992,-0.0775662,-0.02074797,1.149431,-0.0893898,0.07390938,0.0420648,0.03016961,0.1745759,0.9770665,0.4144473
1,1,-0.02156019,1.148901,-0.08962345,0.0761221,-0.1493147,0.9858552,-0.01926445,0.9967989,-0.07758539,-0.02060196,1.149394,-0.08931923,0.07416223,0.04304288,0.03007037,0.1745759,0.9770665,0.4144473
1,1,-0.02129608,1.14902,-0.08954,0.08017647,-0.1483407,0.9856809,-0.01912436,0.9968,-0.07760642,-0.02046379,1.149275,-0.08928251,0.07472768,0.04500636,0.02993492,0.1745759,0.9770665,0.4144473
1,1,-0.02117089,1.149058,-0.08950138,0.08227226,-0.1480092,0.9855579,-0.01904851,0.9968012,-0.07761005,-0.02035169,1.149309,-0.08926153,0.07459449,0.04622798,0.02967471,0.1745759,0.9770665,0.4144473
1,1,-0.02089381,1.149149,-0.0894165,0.08697736,-0.1472359,0.9852697,-0.01888448,0.9968047,-0.07760521,-0.01998904,1.149486,-0.08909512,0.07369674,0.04901499,0.02863053,0.1745759,0.9770665,0.4144473
1,1,-0.02074013,1.149206,-0.08936214,0.0895008,-0.1466798,0.9851267,-0.01879505,0.9968071,-0.07759602,-0.019844,1.149576,-0.08905172,0.07319947,0.05021788,0.02839623,0.1745759,0.9770665,0.4144473
1,1,-0.02058412,1.14927,-0.08930826,0.09205364,-0.1460259,0.9849886,-0.01870093,0.9968099,-0.07758269,-0.01971762,1.14962,-0.08910084,0.07314207,0.05168473,0.02875227,0.1745759,0.9770665,0.4144473
1,1,-0.02025448,1.149387,-0.08924627,0.09786753,-0.1448512,0.9846015,-0.01849861,0.9968162,-0.07755044,-0.0192926,1.149602,-0.089149,0.07309006,0.05497376,0.02899613,0.1745759,0.9770665,0.4144473
1,1,-0.02006573,1.149429,-0.0892272,0.1009722,-0.144357,0.9843605,-0.01838896,0.9968195,-0.07753368,-0.01898427,1.149651,-0.08911896,0.0727837,0.05705921,0.02883857,0.1745759,0.9770665,0.4144473
1,1,-0.01959038,1.149533,-0.08917713,0.108053,-0.1431514,0.9837847,-0.01814339,0.9968266,-0.07749815,-0.01825034,1.14989,-0.08902264,0.07192975,0.06138655,0.02863581,0.1745759,0.9770665,0.4144473
1,1,-0.0193006,1.14961,-0.08914375,0.1120004,-0.1423962,0.9834527,-0.01800268,0.9968307,-0.0774783,-0.01766212,1.150004,-0.088974,0.07163481,0.06394561,0.02846918,0.1745759,0.9770665,0.4144473
1,1,-0.01853251,1.149756,-0.08906889,0.1212101,-0.1409355,0.9825708,-0.01766628,0.9968401,-0.07743356,-0.01686996,1.149947,-0.08897257,0.07185242,0.06867082,0.02784466,0.1745759,0.9770665,0.4144473
