Round,Case,GazeOriginX,GazeOriginY,GazeOriginZ,GazeDirectionX,GazeDirectionY,GazeDirectionZ,HeadMovementDirectionX,HeadMovementDirectionY,HeadMovementDirectionZ,HeadX,HeadY,HeadZ,HeadDrectionX,HeadDrectionY,HeadDrectionZ,LocalTargetX,LocalTargetY,LocalTargetZ
1,1,0.05096618,1.11906,-0.3607535,-0.07031334,-0.03068023,0.997053,0.043034,0.9508162,-0.3067503,0.05080493,1.120997,-0.3605647,0.008076627,-0.03433273,-0.01169248,0.03641293,1.246667,0.3691484
1,1,0.05093987,1.119376,-0.3607225,-0.07006868,-0.02817764,0.9971441,0.04305793,0.9508253,-0.3067186,0.05044687,1.121287,-0.3605452,0.006062487,-0.03477547,-0.01061339,0.03641293,1.246667,0.3691484
1,1,0.05071099,1.120034,-0.3606696,-0.07022203,-0.02235684,0.9972808,0.04306968,0.9508518,-0.3066348,0.04966287,1.121701,-0.3604188,0.002454652,-0.03648925,-0.008032356,0.03641293,1.246667,0.3691484
1,1,0.05051251,1.12035,-0.3606219,-0.07074361,-0.01894163,0.9973146,0.04305055,0.9508693,-0.3065833,0.04955287,1.121792,-0.3603373,0.001786027,-0.03705195,-0.006949695,0.03641293,1.246667,0.3691484
1,1,0.05032305,1.120634,-0.3605657,-0.071403,-0.01580535,0.9973223,0.04301635,0.9508893,-0.3065258,0.04944908,1.122178,-0.3602524,0.001272792,-0.03807212,-0.005770382,0.03641293,1.246667,0.3691484
1,1,0.04994359,1.121229,-0.360424,-0.07367498,-0.01036802,0.9972284,0.04290932,0.9509376,-0.306391,0.04890404,1.122389,-0.3600564,0.0001021443,-0.04039232,-0.006242956,0.03641293,1.246667,0.3691484
1,1,0.04971861,1.12148,-0.3603444,-0.07520036,-0.008059347,0.9971359,0.04283541,0.9509652,-0.3063155,0.04865994,1.122431,-0.3600073,-1.836492E-06,-0.04125614,-0.007435514,0.03641293,1.246667,0.3691484
1,1,0.04947989,1.121695,-0.3602686,-0.07683366,-0.006102932,0.9970253,0.04274803,0.9509945,-0.3062367,0.04856675,1.122408,-0.3599596,-0.00010689,-0.04147302,-0.007986308,0.03641293,1.246667,0.3691484
1,1,0.04909611,1.121993,-0.3601341,-0.07947087,-0.003211331,0.996832,0.04254875,0.951055,-0.3060762,0.04855713,1.122506,-0.3599467,-0.0004304901,-0.04182617,-0.007345282,0.03641293,1.246667,0.3691484
1,1,0.04896957,1.122114,-0.3600903,-0.08043367,-0.002111161,0.9967577,0.04244562,0.9510847,-0.3059978,0.048608,1.12267,-0.3599014,-0.001241925,-0.04212641,-0.007022357,0.03641293,1.246667,0.3691484
1,1,0.04881227,1.122402,-0.359992,-0.08209314,0.0007049799,0.9966244,0.04224816,0.9511431,-0.3058433,0.04856014,1.123051,-0.3598042,-0.003426845,-0.04192251,-0.00768334,0.03641293,1.246667,0.3691484
