Round,Case,X0,Y0,Z0,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21,X22,Y22,Z22,X23,Y23,Z23,TargetX,TargetY,TargetZ
1,27,-0.1493963,1.151841,0.2956664,-0.1493963,1.151841,0.2956664,-0.1698433,1.164575,0.2875296,-0.1903002,1.175271,0.2783238,-0.2194225,1.188841,0.27334,-0.2485189,1.204308,0.2808338,-0.2093238,1.230706,0.2921418,-0.2369768,1.255361,0.3002595,-0.2567772,1.268649,0.3049551,-0.2062972,1.226592,0.3138937,-0.2490495,1.222804,0.3131115,-0.2490615,1.197768,0.3016143,-0.2065094,1.213322,0.3299061,-0.2446029,1.206385,0.3252745,-0.2423507,1.18424,0.3107592,-0.1777891,1.166966,0.3229384,-0.207031,1.195776,0.3429099,-0.2366771,1.192788,0.335432,-0.2363192,1.1777,0.321838,-0.2693276,1.212399,0.2912134,-0.2740038,1.281556,0.3111134,-0.2283395,1.186778,0.2929858,-0.2205766,1.17636,0.3031296,-0.2173002,1.170935,0.3131991,-0.4186367,1.411809,0.4219461
1,27,-0.1576127,1.159759,0.2992142,-0.1576127,1.159759,0.2992142,-0.1781966,1.172309,0.291136,-0.1987887,1.182811,0.2820082,-0.2280707,1.196077,0.2771434,-0.2572385,1.211353,0.2847482,-0.2180114,1.238256,0.2955061,-0.2457404,1.262782,0.3037549,-0.2654984,1.276077,0.3086056,-0.2147855,1.234345,0.3172669,-0.2575535,1.230659,0.3170793,-0.2581149,1.205546,0.3057656,-0.214793,1.221212,0.333393,-0.2529922,1.214483,0.3293649,-0.2511642,1.192195,0.3150101,-0.1858685,1.174959,0.3265868,-0.21511,1.203775,0.3465497,-0.2449124,1.201022,0.3396232,-0.2447567,1.18582,0.3261535,-0.2780618,1.219378,0.2951507,-0.2827262,1.288933,0.3148648,-0.2376967,1.194228,0.2968423,-0.2294953,1.184206,0.3071965,-0.2257107,1.179114,0.3175277,-0.4186367,1.411809,0.4219461
1,27,-0.1716469,1.171894,0.3025011,-0.1716469,1.171894,0.3025011,-0.1921545,1.184286,0.2939955,-0.212788,1.194531,0.2846713,-0.2420518,1.207777,0.279646,-0.2707215,1.223946,0.2872992,-0.2302888,1.25136,0.2941522,-0.2571248,1.277099,0.3016249,-0.2762102,1.291412,0.3062673,-0.2265398,1.249099,0.3160625,-0.2693841,1.246934,0.3176129,-0.2710328,1.221085,0.3082257,-0.2263957,1.237284,0.3331771,-0.2648963,1.231534,0.3308663,-0.2641678,1.208156,0.3182548,-0.1987565,1.189919,0.3293129,-0.2267448,1.220953,0.3476835,-0.2568057,1.218542,0.34183,-0.2573313,1.202315,0.3296249,-0.290557,1.232796,0.298894,-0.2927243,1.305295,0.3122507,-0.250952,1.208972,0.299585,-0.2427678,1.199301,0.3106364,-0.2382282,1.195061,0.321588,-0.4186367,1.411809,0.4219461
1,27,-0.1794167,1.179135,0.3054339,-0.1794167,1.179135,0.3054339,-0.1999746,1.191394,0.2968593,-0.2206998,1.201475,0.2875599,-0.250079,1.214492,0.2826085,-0.2786572,1.230633,0.290653,-0.237959,1.258548,0.2959615,-0.2646207,1.284457,0.3034703,-0.2835153,1.298987,0.3082158,-0.2340131,1.256737,0.317879,-0.2768469,1.254914,0.32004,-0.2787389,1.228913,0.311133,-0.233737,1.245282,0.3352352,-0.2722932,1.239714,0.3334714,-0.2718048,1.216082,0.3213281,-0.2062383,1.19778,0.3321101,-0.233988,1.229259,0.350083,-0.2641153,1.226854,0.3445784,-0.2647614,1.210373,0.3327245,-0.2978899,1.239421,0.3032662,-0.2998144,1.313093,0.3142684,-0.258656,1.216804,0.30249,-0.2504125,1.207172,0.3137531,-0.2455249,1.203217,0.3249221,-0.4186367,1.411809,0.4219461
1,27,-0.1953988,1.191383,0.3131231,-0.1953988,1.191383,0.3131231,-0.2163245,1.203419,0.3051423,-0.2374378,1.213256,0.2964766,-0.2671603,1.225781,0.2923795,-0.2959117,1.240958,0.3015991,-0.2559031,1.269631,0.3068092,-0.283136,1.29437,0.3160199,-0.3018994,1.308646,0.3219188,-0.251704,1.267194,0.3286187,-0.2944283,1.26389,0.3311586,-0.2953251,1.238214,0.3212112,-0.250988,1.255183,0.3455823,-0.2893643,1.248467,0.3438954,-0.288244,1.225302,0.3309244,-0.222398,1.208487,0.3406396,-0.2507143,1.238678,0.3598919,-0.2807757,1.235495,0.3544216,-0.2809415,1.219387,0.34205,-0.3140656,1.248415,0.3164662,-0.3179768,1.322499,0.3290502,-0.2744756,1.227925,0.3120429,-0.2664499,1.217707,0.3230665,-0.2611477,1.213691,0.3344417,-0.4186367,1.411809,0.4219461
1,27,-0.2035599,1.19844,0.316926,-0.2035599,1.19844,0.316926,-0.2246526,1.210316,0.3091468,-0.2459533,1.21997,0.3007367,-0.2758218,1.232256,0.2969946,-0.3045905,1.24711,0.3066736,-0.2648477,1.276138,0.3114148,-0.292293,1.300402,0.3212379,-0.3109325,1.314644,0.3275922,-0.2604784,1.273631,0.333183,-0.3031316,1.269709,0.3360208,-0.3035564,1.244114,0.3258382,-0.2595336,1.261543,0.3500803,-0.297829,1.254337,0.3485884,-0.296496,1.231272,0.3354597,-0.2305343,1.215148,0.3447092,-0.2590062,1.24497,0.3643039,-0.2890343,1.241365,0.3589138,-0.2889933,1.225312,0.3464704,-0.3221042,1.25409,0.3225091,-0.3268235,1.328491,0.3351428,-0.2823771,1.234661,0.3165264,-0.2745612,1.224199,0.3275069,-0.2689691,1.220246,0.339021,-0.4186367,1.411809,0.4219461
1,27,-0.2169155,1.205313,0.3226101,-0.2169155,1.205313,0.3226101,-0.2381776,1.216882,0.3148292,-0.2596386,1.226221,0.3064715,-0.2895307,1.238484,0.3028442,-0.3178787,1.253833,0.3129825,-0.2781378,1.282885,0.3150019,-0.3051513,1.306942,0.3264034,-0.3236824,1.320822,0.3337935,-0.2732002,1.281405,0.3367426,-0.31573,1.277454,0.3410248,-0.3152462,1.251526,0.3317267,-0.2718382,1.270135,0.3541682,-0.3101114,1.262662,0.3540368,-0.3089854,1.239084,0.3418332,-0.2431046,1.223429,0.3502622,-0.2709751,1.254258,0.3691497,-0.3009486,1.249612,0.3642766,-0.30071,1.232993,0.3526023,-0.3344592,1.261406,0.3295335,-0.3394211,1.334334,0.3422187,-0.2936116,1.243126,0.3224523,-0.2871876,1.231899,0.3336088,-0.2804783,1.228413,0.3454025,-0.4186367,1.411809,0.4219461
1,27,-0.2242999,1.210662,0.3258727,-0.2242999,1.210662,0.3258727,-0.2456699,1.222058,0.318133,-0.2672283,1.231222,0.3098327,-0.2971629,1.243407,0.3062929,-0.3253504,1.258875,0.3166946,-0.2857309,1.287998,0.3175774,-0.3125933,1.311839,0.3297639,-0.3310681,1.325505,0.3376737,-0.2805373,1.28692,0.339282,-0.3229836,1.282808,0.3441937,-0.3219411,1.256797,0.3351746,-0.2789536,1.275969,0.3568919,-0.3171729,1.268238,0.3573459,-0.3160349,1.244497,0.3454625,-0.250193,1.22924,0.3534968,-0.2778902,1.260368,0.3721475,-0.3077939,1.255105,0.3674772,-0.3073741,1.238291,0.3560907,-0.3414532,1.266605,0.3336402,-0.3467392,1.33881,0.3465427,-0.300077,1.249053,0.3258672,-0.2942696,1.237389,0.3370859,-0.2870261,1.234087,0.3489904,-0.4186367,1.411809,0.4219461
1,27,-0.2404558,1.222069,0.3357803,-0.2404558,1.222069,0.3357803,-0.262206,1.232788,0.3281324,-0.2840626,1.241283,0.3199005,-0.3143715,1.252551,0.3165115,-0.3426513,1.267665,0.3271792,-0.3034278,1.297975,0.3259676,-0.3306034,1.32141,0.3382461,-0.3490492,1.335018,0.3463227,-0.2976892,1.297854,0.3475612,-0.3398529,1.292701,0.3537584,-0.3381692,1.266476,0.3454892,-0.2954841,1.287645,0.3655459,-0.3333997,1.278671,0.3671502,-0.3318274,1.254587,0.3560304,-0.2659932,1.241303,0.363286,-0.2937741,1.272687,0.3813762,-0.3236081,1.266452,0.3775295,-0.3230836,1.249204,0.3668166,-0.3581388,1.275516,0.3446351,-0.3646874,1.348307,0.3552734,-0.3160828,1.259774,0.3359025,-0.3099046,1.248214,0.347476,-0.3026864,1.245451,0.3596055,-0.4186367,1.411809,0.4219461
1,27,-0.2391004,1.221561,0.3348532,-0.2391004,1.221561,0.3348532,-0.2610294,1.232085,0.3274494,-0.2830316,1.240396,0.31942,-0.3134811,1.251362,0.316312,-0.3418334,1.266161,0.3272253,-0.3029075,1.296869,0.3258652,-0.3301863,1.320192,0.3381287,-0.3485744,1.333868,0.3462219,-0.296954,1.296749,0.3474005,-0.33897,1.290874,0.3539471,-0.3369362,1.264719,0.3455341,-0.2944705,1.286516,0.3653353,-0.3321454,1.276613,0.3671311,-0.3301188,1.252643,0.3558405,-0.2645507,1.240473,0.3626611,-0.292457,1.271536,0.3811084,-0.3220762,1.264374,0.3772171,-0.3211591,1.247167,0.3664637,-0.3574021,1.273847,0.3446823,-0.3640785,1.347307,0.3551817,-0.3148544,1.258353,0.3357102,-0.3081749,1.246695,0.347037,-0.3007777,1.243729,0.3590536,-0.4186367,1.411809,0.4219461
