Round,Case,GazeOriginX,GazeOriginY,GazeOriginZ,GazeDirectionX,GazeDirectionY,GazeDirectionZ,HeadMovementDirectionX,HeadMovementDirectionY,HeadMovementDirectionZ,HeadX,HeadY,HeadZ,HeadDrectionX,HeadDrectionY,HeadDrectionZ,LocalTargetX,LocalTargetY,LocalTargetZ
1,1,-0.01248521,1.137974,-0.01903772,-0.0387006,0.05917286,0.9974973,-0.01064303,0.9998012,-0.01679193,-0.01260741,1.137797,-0.01877022,-0.02900673,-0.02056783,-0.01408181,-0.2100591,0.887643,0.4061507
1,1,-0.01251582,1.13793,-0.01897049,-0.03909839,0.05901693,0.997491,-0.01067838,0.9998012,-0.01677951,-0.01262367,1.137794,-0.01874113,-0.02906602,-0.02066811,-0.01412238,-0.2100591,0.887643,0.4061507
1,1,-0.01258774,1.137868,-0.01885366,-0.03980093,0.05880979,0.9974754,-0.01074726,0.9998012,-0.01674384,-0.01285002,1.137713,-0.01854563,-0.02877199,-0.02125155,-0.01465086,-0.2100591,0.887643,0.4061507
1,1,-0.01264607,1.137833,-0.018785,-0.04020735,0.05865722,0.9974682,-0.01078373,0.9998013,-0.01672008,-0.01283675,1.137696,-0.01849174,-0.02874167,-0.02139304,-0.01427289,-0.2100591,0.887643,0.4061507
1,1,-0.01268801,1.137803,-0.01872063,-0.04058706,0.05852396,0.9974605,-0.01082027,0.9998013,-0.01669307,-0.01284208,1.137675,-0.01838875,-0.02883511,-0.02169193,-0.01402245,-0.2100591,0.887643,0.4061507
1,1,-0.01275247,1.137739,-0.01855564,-0.04147488,0.05831235,0.9974364,-0.01089135,0.9998017,-0.01662643,-0.01291127,1.137593,-0.01821184,-0.02817848,-0.02169485,-0.01441563,-0.2100591,0.887643,0.4061507
1,1,-0.01279063,1.137704,-0.01847315,-0.04173213,0.0579828,0.9974449,-0.01092624,0.999802,-0.01658719,-0.01297512,1.137574,-0.01816177,-0.02785555,-0.02165247,-0.01459751,-0.2100591,0.887643,0.4061507
1,1,-0.01283523,1.137672,-0.01839781,-0.04190814,0.05757662,0.9974611,-0.0109616,0.9998024,-0.0165453,-0.01297712,1.137565,-0.01815653,-0.027689,-0.02168415,-0.01434925,-0.2100591,0.887643,0.4061507
1,1,-0.0128684,1.137647,-0.01834154,-0.04205643,0.05719876,0.9974766,-0.01099636,0.9998027,-0.01650269,-0.01299354,1.137531,-0.01804924,-0.0274573,-0.02183501,-0.0142939,-0.2100591,0.887643,0.4061507
1,1,-0.01289785,1.13762,-0.01827288,-0.04224407,0.05679891,0.9974915,-0.01103026,0.9998031,-0.01645835,-0.01301093,1.137477,-0.01801109,-0.02736706,-0.02198561,-0.01432509,-0.2100591,0.887643,0.4061507
1,1,-0.01294407,1.137559,-0.01816559,-0.04262184,0.05621966,0.9975082,-0.01109442,0.9998038,-0.01636851,-0.01301133,1.137412,-0.01800442,-0.02730627,-0.02217879,-0.01395398,-0.2100591,0.887643,0.4061507
1,1,-0.01295843,1.137527,-0.01813126,-0.04282298,0.0560003,0.997512,-0.01112393,0.9998043,-0.01632527,-0.01295773,1.137299,-0.0179863,-0.02711303,-0.02231239,-0.01399212,-0.2100591,0.887643,0.4061507
1,1,-0.01295449,1.137426,-0.01807404,-0.04321951,0.05552391,0.9975215,-0.01117419,0.999805,-0.01624405,-0.01292041,1.137185,-0.0179801,-0.0270497,-0.022451,-0.0141792,-0.2100591,0.887643,0.4061507
1,1,-0.01294769,1.137378,-0.01805544,-0.04339557,0.05535912,0.997523,-0.01119494,0.9998055,-0.01620681,-0.01292997,1.137203,-0.01800966,-0.02711355,-0.02256779,-0.0142155,-0.2100591,0.887643,0.4061507
1,1,-0.01294442,1.137346,-0.01804686,-0.04356882,0.05526114,0.9975209,-0.01121335,0.9998058,-0.01617257,-0.01293403,1.137206,-0.01806307,-0.02743774,-0.02286805,-0.01422507,-0.2100591,0.887643,0.4061507
1,1,-0.01294425,1.137309,-0.01805925,-0.04421448,0.05546275,0.9974813,-0.01124473,0.9998064,-0.01611544,-0.01301191,1.137272,-0.01812506,-0.02766397,-0.02423486,-0.01377325,-0.2100591,0.887643,0.4061507
1,1,-0.01295478,1.137304,-0.01806927,-0.04475226,0.05553905,0.9974531,-0.01125912,0.9998066,-0.01609237,-0.01314372,1.137256,-0.01814985,-0.02735795,-0.02502932,-0.01380337,-0.2100591,0.887643,0.4061507
1,1,-0.01303309,1.137285,-0.01810026,-0.04635008,0.05545234,0.9973849,-0.01129285,0.9998068,-0.01605663,-0.01377741,1.13712,-0.01838684,-0.02663481,-0.02929805,-0.01286944,-0.2100591,0.887643,0.4061507
1,1,-0.01313389,1.137263,-0.01813889,-0.0479092,0.05525307,0.9973223,-0.01131821,0.9998067,-0.01604561,-0.01414009,1.137031,-0.01848078,-0.02602859,-0.03137764,-0.01223402,-0.2100591,0.887643,0.4061507
1,1,-0.01343326,1.137195,-0.01823044,-0.05193199,0.0545274,0.9971609,-0.01139861,0.9998059,-0.01603858,-0.01519683,1.136841,-0.01855755,-0.02509568,-0.03536594,-0.01144815,-0.2100591,0.887643,0.4061507
1,1,-0.01365298,1.137151,-0.01827097,-0.05419471,0.0540828,0.9970647,-0.01145913,0.9998052,-0.01604113,-0.01618712,1.13668,-0.01864958,-0.02416491,-0.04002118,-0.01056299,-0.2100591,0.887643,0.4061507
1,1,-0.01396656,1.137093,-0.0183177,-0.05732068,0.05347059,0.9969229,-0.01154124,0.9998041,-0.01604761,-0.01678516,1.136543,-0.01866531,-0.02348072,-0.04331521,-0.0102722,-0.2100591,0.887643,0.4061507
1,1,-0.01480286,1.136923,-0.01840639,-0.06585228,0.05177176,0.9964854,-0.01178689,0.9998008,-0.01607069,-0.0178619,1.136289,-0.0186491,-0.02227145,-0.04907339,-0.009273613,-0.2100591,0.887643,0.4061507
1,1,-0.01530117,1.13682,-0.01844597,-0.07102687,0.05073525,0.9961833,-0.01195387,0.9997985,-0.01608585,-0.01854334,1.136115,-0.01866198,-0.02146816,-0.0529496,-0.008914858,-0.2100591,0.887643,0.4061507
1,1,-0.01674574,1.136518,-0.01851559,-0.08603122,0.04781721,0.9951442,-0.01241277,0.9997919,-0.01612152,-0.02090176,1.135844,-0.01858234,-0.01974116,-0.06425507,-0.008757504,-0.2100591,0.887643,0.4061507
1,1,-0.01774475,1.136356,-0.0185318,-0.09610395,0.04607006,0.9943045,-0.01273264,0.9997872,-0.01613976,-0.02162191,1.135842,-0.01850319,-0.01980514,-0.06799257,-0.008871434,-0.2100591,0.887643,0.4061507
1,1,-0.01973582,1.1361,-0.01849842,-0.1161791,0.04375849,0.9922639,-0.01353609,0.9997751,-0.01616788,-0.0236204,1.135698,-0.01827621,-0.02012822,-0.077995,-0.008332808,-0.2100591,0.887643,0.4061507
1,1,-0.0209951,1.13597,-0.01842642,-0.1288318,0.04300904,0.9907333,-0.01402916,0.9997684,-0.0161727,-0.02438503,1.135579,-0.01830959,-0.02002919,-0.08177373,-0.008412786,-0.2100591,0.887643,0.4061507
1,1,-0.02220707,1.13583,-0.01838446,-0.1409321,0.04240036,0.9891108,-0.01458153,0.9997606,-0.01617352,-0.02510576,1.135471,-0.01832771,-0.01948793,-0.08526706,-0.008731334,-0.2100591,0.887643,0.4061507
1,1,-0.02420585,1.135578,-0.01835251,-0.160609,0.04069889,0.9861787,-0.01579017,0.9997427,-0.01617084,-0.02601964,1.135296,-0.01830006,-0.01853221,-0.08952957,-0.009144171,-0.2100591,0.887643,0.4061507
1,1,-0.02502588,1.135451,-0.01832867,-0.1684613,0.03972664,0.9849073,-0.01641252,0.9997329,-0.01616741,-0.02716987,1.135198,-0.01817369,-0.01768198,-0.09552874,-0.009502698,-0.2100591,0.887643,0.4061507
1,1,-0.02683625,1.135243,-0.01814461,-0.1867044,0.03762122,0.9816955,-0.0177204,0.9997112,-0.0161398,-0.02799435,1.135103,-0.01799631,-0.01759448,-0.09975963,-0.00925309,-0.2100591,0.887643,0.4061507
1,1,-0.02746494,1.135167,-0.01806402,-0.1929258,0.0372046,0.9805077,-0.01836582,0.9997,-0.01611653,-0.02823373,1.135093,-0.01810312,-0.017182,-0.1001938,-0.009332487,-0.2100591,0.887643,0.4061507
1,1,-0.02846476,1.134996,-0.01803112,-0.2027191,0.03494235,0.9786133,-0.01959432,0.9996776,-0.0160758,-0.02900916,1.134763,-0.01792049,-0.01517497,-0.1049743,-0.0100275,-0.2100591,0.887643,0.4061507
1,1,-0.02880277,1.134851,-0.01796246,-0.2062779,0.03329104,0.977927,-0.02017036,0.9996666,-0.0160504,-0.02912451,1.134556,-0.01784515,-0.01441941,-0.1056119,-0.01011333,-0.2100591,0.887643,0.4061507
1,1,-0.02929255,1.134569,-0.01781464,-0.2090695,0.03051574,0.9774245,-0.02121627,0.9996462,-0.01598861,-0.02971797,1.134018,-0.01718378,-0.01329575,-0.1056281,-0.01047451,-0.2100591,0.887643,0.4061507
1,1,-0.02958303,1.134193,-0.01738405,-0.2095448,0.02924297,0.9773617,-0.0216999,0.9996369,-0.01592205,-0.03009059,1.133476,-0.01654148,-0.0119872,-0.1068586,-0.01118938,-0.2100591,0.887643,0.4061507
1,1,-0.02993865,1.13369,-0.01679373,-0.211403,0.02712866,0.9770225,-0.02216892,0.9996284,-0.01581066,-0.03010163,1.13323,-0.01619387,-0.01144455,-0.1063903,-0.01186816,-0.2100591,0.887643,0.4061507
1,1,-0.02993436,1.133218,-0.01624203,-0.2107748,0.02454996,0.9772264,-0.02298071,0.9996136,-0.01553881,-0.02972809,1.133116,-0.01623774,-0.01045489,-0.1056799,-0.01246118,-0.2100591,0.887643,0.4061507
1,1,-0.0297813,1.133142,-0.01623869,-0.2101165,0.02371423,0.9773887,-0.02330967,0.9996074,-0.01541735,-0.02955137,1.132878,-0.01603985,-0.008934716,-0.1055083,-0.01305283,-0.2100591,0.887643,0.4061507
1,1,-0.02946597,1.132723,-0.01601362,-0.2088472,0.01948173,0.9777542,-0.02383204,0.9995984,-0.01517869,-0.02934271,1.132462,-0.01593161,-0.00735001,-0.1045678,-0.01416218,-0.2100591,0.887643,0.4061507
1,1,-0.02937123,1.132522,-0.01595068,-0.2080071,0.01801953,0.9779614,-0.02404115,0.999595,-0.01506863,-0.02932175,1.132393,-0.01592255,-0.006905914,-0.1041838,-0.014735,-0.2100591,0.887643,0.4061507
1,1,-0.02929642,1.132295,-0.01588917,-0.206084,0.0154817,0.9784118,-0.0243898,0.9995895,-0.01487365,-0.02930857,1.131995,-0.0157795,-0.003962212,-0.1027757,-0.01716553,-0.2100591,0.887643,0.4061507
1,1,-0.02930593,1.13206,-0.01580334,-0.2046851,0.0122968,0.9787506,-0.02453842,0.9995873,-0.01478166,-0.02942891,1.131857,-0.01575232,-0.00320566,-0.1024573,-0.01786837,-0.2100591,0.887643,0.4061507
1,1,-0.02954799,1.131794,-0.0156846,-0.2035001,0.009893978,0.9790249,-0.02482254,0.9995829,-0.01461119,-0.02971065,1.131804,-0.01554537,-0.003512334,-0.1024797,-0.0176282,-0.2100591,0.887643,0.4061507
1,1,-0.02967561,1.131802,-0.01557541,-0.2036751,0.0104476,0.9789828,-0.02496111,0.9995807,-0.01452563,-0.03000308,1.13174,-0.01531506,-0.002790874,-0.1021491,-0.01777802,-0.2100591,0.887643,0.4061507
1,1,-0.02993213,1.131754,-0.01537132,-0.2032224,0.009457516,0.979087,-0.02510859,0.9995785,-0.01443065,-0.03030333,1.131748,-0.01517487,-0.00275039,-0.1025203,-0.0177001,-0.2100591,0.887643,0.4061507
1,1,-0.03057056,1.131706,-0.01508045,-0.2043794,0.008552372,0.9788544,-0.02544029,0.999573,-0.01423039,-0.03103219,1.131656,-0.0148921,-0.002366026,-0.1034765,-0.01702391,-0.2100591,0.887643,0.4061507
1,1,-0.03092809,1.131667,-0.01493454,-0.205426,0.008301997,0.9786374,-0.02562797,0.9995696,-0.01412643,-0.0312957,1.131658,-0.01473188,-0.0020541,-0.1041392,-0.01635262,-0.2100591,0.887643,0.4061507
1,1,-0.0318024,1.131604,-0.01447487,-0.2085713,0.006437969,0.977986,-0.02604873,0.9995618,-0.01389573,-0.03242837,1.131571,-0.01424646,-0.0008104147,-0.1054462,-0.0162924,-0.2100591,0.887643,0.4061507
1,1,-0.03227664,1.131579,-0.01430178,-0.2093976,0.005384553,0.9778157,-0.02629482,0.999557,-0.01376942,-0.03280748,1.131628,-0.01407671,-0.0002084536,-0.1057645,-0.01694576,-0.2100591,0.887643,0.4061507
1,1,-0.03283366,1.131595,-0.01399565,-0.2106599,0.004212403,0.9775503,-0.02679631,0.9995469,-0.01351289,-0.03353687,1.13153,-0.01358461,0.0001440368,-0.1070452,-0.01697793,-0.2100591,0.887643,0.4061507
1,1,-0.03334765,1.131547,-0.01369524,-0.2122492,0.003580916,0.977209,-0.02706227,0.9995415,-0.0133713,-0.03376191,1.131608,-0.01345158,0.0003740203,-0.1076633,-0.01629563,-0.2100591,0.887643,0.4061507
1,1,-0.03364579,1.131591,-0.01351976,-0.2135514,0.002993918,0.9769272,-0.02732783,0.999536,-0.01322831,-0.0340667,1.13161,-0.01334906,0.000753333,-0.1079901,-0.01602583,-0.2100591,0.887643,0.4061507
1,1,-0.03410919,1.131598,-0.01331282,-0.2146925,0.001710391,0.9766802,-0.02784644,0.9995251,-0.0129559,-0.03442874,1.131573,-0.01313114,0.001414518,-0.1082853,-0.01656038,-0.2100591,0.887643,0.4061507
1,1,-0.03432556,1.131581,-0.01318979,-0.2151132,0.001076675,0.9765885,-0.02809362,0.9995198,-0.0128253,-0.03503869,1.131574,-0.01281071,0.002091278,-0.1088236,-0.01666139,-0.2100591,0.887643,0.4061507
1,1,-0.0350945,1.131627,-0.0127368,-0.2164932,-0.00052886,0.9762839,-0.02862143,0.9995081,-0.012542,-0.03558926,1.131828,-0.01237965,0.002354257,-0.1091834,-0.0170858,-0.2100591,0.887643,0.4061507
1,1,-0.03540113,1.131752,-0.01251554,-0.216875,-0.0007890462,0.976199,-0.02888556,0.9995023,-0.01239305,-0.03578512,1.131892,-0.01226044,0.002008789,-0.1091502,-0.0176594,-0.2100591,0.887643,0.4061507
1,1,-0.03612018,1.132001,-0.012043,-0.2173351,0.0001792073,0.976097,-0.02941799,0.9994904,-0.01208415,-0.03672382,1.132257,-0.01147366,0.001333417,-0.1096381,-0.01898048,-0.2100591,0.887643,0.4061507
1,1,-0.03645089,1.132141,-0.01173115,-0.2176802,0.0009092093,0.9760197,-0.02969399,0.9994842,-0.01191134,-0.03701163,1.132259,-0.01120758,0.0007030556,-0.1096616,-0.01875857,-0.2100591,0.887643,0.4061507
1,1,-0.03692563,1.132256,-0.01128244,-0.2180129,0.002439606,0.9759428,-0.03023051,0.9994721,-0.01155441,-0.03736907,1.132359,-0.01087284,0.0004023433,-0.1099376,-0.0182775,-0.2100591,0.887643,0.4061507
1,1,-0.03713197,1.132304,-0.01109171,-0.218249,0.002802313,0.9758891,-0.03048487,0.9994664,-0.01137797,-0.03801061,1.132405,-0.01037979,0.0004130861,-0.1101832,-0.01818457,-0.2100591,0.887643,0.4061507
1,1,-0.03751442,1.132348,-0.01078176,-0.2185772,0.002969432,0.9758152,-0.03074739,0.9994603,-0.01119176,-0.03831007,1.132349,-0.01031065,0.0006809233,-0.1101778,-0.01854577,-0.2100591,0.887643,0.4061507
1,1,-0.03814255,1.132365,-0.01041651,-0.2188856,0.002664447,0.9757469,-0.0312774,0.9994478,-0.01082582,-0.03873174,1.132427,-0.01000547,0.001092037,-0.1101612,-0.01868281,-0.2100591,0.887643,0.4061507
1,2,-0.0136499,1.128913,-0.02158451,-0.04261424,-0.01420448,0.9989907,-0.01125731,0.9997701,-0.01811389,-0.01400192,1.128988,-0.02145863,0.007014883,-0.02121881,-0.01770003,-0.02111915,0.7176496,0.3196855
1,2,-0.0138011,1.128945,-0.02153063,-0.04263764,-0.01380437,0.9989952,-0.01135375,0.9997674,-0.01820916,-0.01412246,1.129021,-0.02135801,0.006890176,-0.02121844,-0.0171295,-0.02111915,0.7176496,0.3196855
1,2,-0.0139297,1.128976,-0.02146149,-0.04264504,-0.01350167,0.998999,-0.01145189,0.999765,-0.01828872,-0.0141876,1.129054,-0.02128363,0.006848664,-0.0213858,-0.01723779,-0.02111915,0.7176496,0.3196855
1,2,-0.01402543,1.129005,-0.02139568,-0.0427733,-0.01329861,0.9989963,-0.01154866,0.9997628,-0.01835446,-0.0145022,1.129105,-0.0211339,0.006503174,-0.02161949,-0.01644896,-0.02111915,0.7176496,0.3196855
1,2,-0.01430016,1.129048,-0.021245,-0.0432783,-0.01282556,0.9989807,-0.01175144,0.9997589,-0.01844625,-0.01460402,1.129033,-0.02104568,0.006913189,-0.02199461,-0.01642028,-0.02111915,0.7176496,0.3196855
1,2,-0.01439178,1.129043,-0.02118492,-0.04355579,-0.01290786,0.9989675,-0.01185065,0.9997573,-0.0184775,-0.01469267,1.12898,-0.02096367,0.007204448,-0.02203722,-0.01677925,-0.02111915,0.7176496,0.3196855
1,2,-0.01453292,1.128995,-0.02107239,-0.0439205,-0.01348239,0.9989441,-0.01203988,0.9997545,-0.01851595,-0.01465541,1.128891,-0.02095985,0.007539521,-0.02191831,-0.01773824,-0.02111915,0.7176496,0.3196855
1,2,-0.01456666,1.128967,-0.02104139,-0.04396594,-0.01370624,0.998939,-0.01212583,0.9997534,-0.01852765,-0.01463421,1.128893,-0.02096272,0.007474339,-0.02191439,-0.01794649,-0.02111915,0.7176496,0.3196855
1,2,-0.01458474,1.128947,-0.02102041,-0.043996,-0.01382651,0.9989361,-0.0122048,0.9997523,-0.01853636,-0.01454772,1.128873,-0.02084494,0.007381816,-0.02177827,-0.01851597,-0.02111915,0.7176496,0.3196855
1,2,-0.01457482,1.128927,-0.02097321,-0.0439464,-0.0138598,0.9989377,-0.01227502,0.9997515,-0.01854005,-0.01447203,1.128858,-0.02077913,0.007547967,-0.02171413,-0.01875371,-0.02111915,0.7176496,0.3196855
1,2,-0.01450995,1.128888,-0.02086973,-0.04375314,-0.01417971,0.9989417,-0.01238729,0.9997504,-0.01853326,-0.01437682,1.128784,-0.02066946,0.00788362,-0.02145402,-0.01919753,-0.02111915,0.7176496,0.3196855
1,2,-0.01447494,1.128861,-0.02081728,-0.04360549,-0.01437872,0.9989454,-0.0124305,0.9997501,-0.01852356,-0.01442568,1.128742,-0.02065372,0.007804348,-0.02141012,-0.01914665,-0.02111915,0.7176496,0.3196855
1,2,-0.01445922,1.128785,-0.02070284,-0.04346418,-0.01464693,0.9989476,-0.01250211,0.99975,-0.01849367,-0.01450692,1.128622,-0.02035761,0.008382409,-0.022143,-0.01849509,-0.02111915,0.7176496,0.3196855
1,2,-0.01447146,1.128743,-0.02061415,-0.0437495,-0.01497824,0.9989303,-0.01253366,0.9997501,-0.01847014,-0.01458778,1.128559,-0.02021837,0.008930746,-0.02279159,-0.01804412,-0.02111915,0.7176496,0.3196855
1,2,-0.01455072,1.128636,-0.02041531,-0.04503893,-0.01618908,0.998854,-0.01259717,0.9997506,-0.01840452,-0.01492482,1.128097,-0.01986265,0.01106302,-0.02465257,-0.01722833,-0.02111915,0.7176496,0.3196855
1,2,-0.01464733,1.128496,-0.02027273,-0.04623269,-0.01749996,0.9987774,-0.01263509,0.999751,-0.01836007,-0.01509213,1.127683,-0.01977777,0.0129995,-0.02534961,-0.0170512,-0.02111915,0.7176496,0.3196855
1,2,-0.01475935,1.128292,-0.02014828,-0.04746255,-0.01941924,0.9986842,-0.01267937,0.9997513,-0.01830935,-0.01528727,1.126492,-0.01970387,0.01604049,-0.02608211,-0.01677492,-0.02111915,0.7176496,0.3196855
1,2,-0.01500451,1.127397,-0.01994324,-0.04996412,-0.02590255,0.9984151,-0.01278926,0.999752,-0.01819737,-0.01540963,1.125461,-0.01951981,0.02213261,-0.02690671,-0.01666718,-0.02111915,0.7176496,0.3196855
1,2,-0.01510584,1.126912,-0.01983738,-0.05110293,-0.03026363,0.9982347,-0.01285047,0.9997523,-0.01813753,-0.0155986,1.123935,-0.01914883,0.02845309,-0.02796056,-0.01651154,-0.02111915,0.7176496,0.3196855
1,2,-0.01533964,1.125444,-0.01948786,-0.05365113,-0.04303935,0.9976318,-0.01298799,0.9997531,-0.01799414,-0.01575,1.122092,-0.01865578,0.03659888,-0.0284957,-0.01731552,-0.02111915,0.7176496,0.3196855
1,2,-0.01543416,1.124672,-0.01929617,-0.05470054,-0.04974156,0.9972631,-0.01306118,0.9997537,-0.01791003,-0.01585011,1.121538,-0.01850319,0.03967867,-0.02830995,-0.01778795,-0.02111915,0.7176496,0.3196855
1,2,-0.0156484,1.122814,-0.01878166,-0.05637737,-0.06638682,0.9962,-0.01321619,0.9997551,-0.01770957,-0.01621566,1.118455,-0.01740456,0.05429224,-0.02831833,-0.02000227,-0.02111915,0.7176496,0.3196855
1,2,-0.01580168,1.121637,-0.01840973,-0.05701201,-0.07743498,0.995366,-0.01330305,0.9997562,-0.01757955,-0.0164399,1.117434,-0.01690578,0.05930377,-0.02795248,-0.02115219,-0.02111915,0.7176496,0.3196855
1,2,-0.01615729,1.119282,-0.01752043,-0.05747532,-0.09977306,0.9933489,-0.01350284,0.999759,-0.01724725,-0.01665417,1.115913,-0.01605844,0.06604397,-0.02718096,-0.02221598,-0.02111915,0.7176496,0.3196855
